dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,24,31.510226894170046,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,25,31.632773112505674,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,26,31.668632989749312,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,27,31.55597299337387,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,28,31.509364023804665,geometry_only,3,30,cuda
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,29,31.85400296933949,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,0,29.90244305692613,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,1,29.65161600150168,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,2,29.40418105572462,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,3,29.438283061608672,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,4,29.68497504480183,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,5,29.945466201752424,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,6,29.71026790328324,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,7,29.41989293321967,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,8,29.47604493238032,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,9,29.38500395976007,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,10,29.492295114323497,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,11,29.490038054063916,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,12,29.238471994176507,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,13,29.335018014535308,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,14,29.448922956362367,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,15,29.30276608094573,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,16,29.333835002034903,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,17,29.315606923773885,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,18,29.318599961698055,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,19,29.66745221056044,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,20,29.410879826173186,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,21,29.1853251401335,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,22,29.328305972740054,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,23,29.510481981560588,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,24,29.17202189564705,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,25,29.412137111648917,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,26,29.313047183677554,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,27,29.280250892043114,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,28,29.589927988126874,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_baseline,29,29.381501954048872,baseline,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,0,30.40747600607574,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,1,29.989758972078562,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,2,30.256866943091154,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,3,29.807779006659985,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,4,30.082331970334053,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,5,29.907790012657642,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,6,29.734669951722026,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,7,29.61471281014383,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,8,29.733801959082484,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,9,29.903395799919963,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,10,29.874133877456188,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,11,29.95487581938505,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,12,30.042887898162007,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,13,30.108866980299354,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,14,29.964789981022477,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,15,30.807027826085687,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,16,30.36663495004177,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,17,30.584522057324648,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,18,30.102079967036843,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,19,29.800108168274164,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,20,31.117152888327837,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,21,31.30735200829804,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,22,30.779202934354544,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,23,30.06700682453811,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,24,29.975254088640213,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,25,30.20557318814099,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,26,30.56862484663725,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,27,31.58101299777627,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,28,31.17977501824498,geometry_only,3,30,cuda
iso17,iso17,spice,19,sevennet_geometry_only,29,30.66354594193399,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,0,29.70715705305338,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,1,29.763943050056696,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,2,29.511403990909457,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,3,29.483145102858543,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,4,29.4285009149462,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,5,29.68313591554761,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,6,29.54503195360303,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,7,29.708624118939042,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,8,29.85682198777795,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,9,29.366923961788416,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,10,29.661100124940276,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,11,29.74424185231328,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,12,29.630922945216298,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,13,29.251650907099247,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,14,29.62393779307604,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,15,29.563758056610823,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,16,29.197582975029945,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,17,29.652552912011743,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,18,29.550457140430808,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,19,29.23561306670308,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,20,29.845186974853277,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,21,29.376621125265956,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,22,29.756555799394846,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,23,29.792926972731948,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,24,29.496460920199752,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,25,29.663095017895103,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,26,30.051802983507514,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,27,29.803538927808404,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,28,29.682360123842955,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,29,29.412630014121532,baseline,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,0,30.405606143176556,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,1,30.12985596433282,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,2,30.410563107579947,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,3,30.231107026338577,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,4,29.794845962896943,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,5,30.127218924462795,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,6,29.98046507127583,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,7,30.213532969355583,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,8,32.13184606283903,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,9,31.701537081971765,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,10,30.540228122845292,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,11,30.006848042830825,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,12,29.767239931970835,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,13,29.85381498001516,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,14,29.942775843665004,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,15,30.376366805285215,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,16,30.018644174560905,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,17,30.241389060392976,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,18,30.015767086297274,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,19,29.75027193315327,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,20,30.043282080441713,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,21,29.89485999569297,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,22,30.652487883344293,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,23,29.96378787793219,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,24,29.93509010411799,geometry_only,3,30,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,25,29.816656839102507,geometry_only,3,30,cuda
